Couple_ID,T1A_Demo_Age_A,Attention_1.x_A,Attention_2.x_A,T1A_Demo_Gender_A,T1A_ROES_FB_S__1_A,T1A_ROES_FB_S__2_A,T1A_ROES_FB_S__3_A,T1A_ROES_FB_S__4_A,T1A_ROES_FB_S__5_A,T1A_ROES_FB_S__6_A,T1A_ROES_FB_S__7_A,T1A_ROES_FB_S__8_A,T1A_ROES_FB_S__9_A,T1A_ROES_FB_S__10_A,T1A_ROES_FB_S__11_A,T1A_ROES_FB_S__12_A,T1A_ROES_FB_S__13_A,T1A_ROES_FB_S__14_A,T1A_ROES_FB_S__15_A,T1A_ROES_FB_S__16_A,T1A_ROES_FB_S__17_A,T1A_ROES_FB_S__18_A,T1A_ROES_FB_S__19_A,T1A_ROES_FB_S__20_A,T1A_ROES_FB_S__21_A,T1A_ROES_FB_S__22_A,T1A_ROES_FB_S__23_A,T1A_ROES_FB_S__24_A,T1A_ROES_FB_S__25_A,T1A_ROES_FB_S__26_A,T1A_ROES_FB_S__27_A,T1A_ROES_FB_S__28_A,T1A_ROES_FB_S__29_A,T1A_ROES_FB_S__30_A,T1A_ROES_FB_S__31_A,T1A_ROES_FB_S__32_A,T1A_Demo_Age_P,Attention_1.x_P,Attention_2.x_P,T1A_Demo_Gender_P,Attention_1.y_P,Attention_2.y_P,T1B_ROES_FB_O__1_P,T1B_ROES_FB_O__2_P,T1B_ROES_FB_O__3_P,T1B_ROES_FB_O__4_P,T1B_ROES_FB_O__5_P,T1B_ROES_FB_O__6_P,T1B_ROES_FB_O__7_P,T1B_ROES_FB_O__8_P,T1B_ROES_FB_O__9_P,T1B_ROES_FB_O__10_P,T1B_ROES_FB_O__11_P,T1B_ROES_FB_O__12_P,T1B_ROES_FB_O__13_P,T1B_ROES_FB_O__14_P,T1B_ROES_FB_O__15_P,T1B_ROES_FB_O__16_P,T1B_ROES_FB_O__17_P,T1B_ROES_FB_O__18_P,T1B_ROES_FB_O__19_P,T1B_ROES_FB_O__20_P,T1B_ROES_FB_O__21_P,T1B_ROES_FB_O__22_P,T1B_ROES_FB_O__23_P,T1B_ROES_FB_O__24_P,T1B_ROES_FB_O__25_P,T1B_ROES_FB_O__26_P,T1B_ROES_FB_O__27_P,T1B_ROES_FB_O__28_P,T1B_ROES_FB_O__29_P,T1B_ROES_FB_O__30_P,T1B_ROES_FB_O__31_P,T1B_ROES_FB_O__32_P,Length,RelWB_P,RelWB_A
1678451535,58,2,1,2,6,6,6,5,6,6,6,3,6,5,4,5,6,6,6,6,6,6,6,6,6,5,5,6,5,6,6,6,4,4,3,4,49,2,1,1,1,5,4,4,4,4,4,2,2,2,3,4,2,2,2,2,4,4,4,2,4,4,4,4,4,4,4,5,5,4,2,2,4,2,23.5,31.56666667,31.82142857
1697169397,32,2,1,2,6,5,6,6,5,5,4,6,5,5,6,5,5,5,5,5,6,5,6,6,5,5,5,5,6,5,6,6,4,6,6,6,37,2,1,1,1,5,6,5,6,6,6,6,6,6,4,4,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,4,3,6,4,30.01666667,24.62380952
1748772983,35,2,5,1,6,6,6,6,1,6,1,6,5,1,1,6,6,6,6,6,6,2,6,6,6,6,6,6,2,6,6,6,6,1,6,6,32,2,1,2,1,5,5,5,5,5,3,5,2,4,4,4,3,4,6,6,6,6,5,5,5,5,5,5,5,4,3,4,6,3,5,5,5,6,12.66666667,29.75238095,29.63333333
1758305095,43,2,1,1,5,4,5,4,2,4,5,2,4,5,4,4,1,1,1,1,5,4,5,4,5,5,5,4,2,4,2,4,2,5,1,1,39,2,1,2,1,5,5,5,5,4,4,5,5,5,4,5,4,4,3,4,3,4,3,4,5,5,4,5,4,5,5,5,5,5,4,4,4,4,18,19.73333333,25.26904762
1763991518,38,2,1,1,4,5,3,4,3,4,3,2,2,3,2,3,5,3,5,5,4,4,3,5,4,4,4,4,5,4,5,4,3,4,2,4,35,2,1,2,1,5,5,3,5,4,4,3,3,3,4,4,4,2,4,5,5,4,5,5,4,3,4,4,5,4,4,4,4,5,4,4,3,3,9.5,25.81666667,24.69285714
1767661726,62,2,1,2,4,4,4,4,4,4,6,1,2,1,2,4,4,5,5,4,4,5,5,4,2,5,5,3,3,4,3,4,1,1,1,1,76,2,1,1,1,5,5,3,4,4,5,5,4,4,2,2,2,1,6,5,5,5,4,3,4,4,6,6,4,4,2,3,2,3,3,1,1,1,20,29.71428571,28.2952381
1804044747,35,2,1,2,4,4,4,4,1,1,2,1,5,4,4,4,5,6,5,5,6,6,6,6,3,5,4,3,4,5,2,4,1,1,1,1,38,2,1,1,1,5,5,4,5,4,1,1,1,1,5,5,4,5,6,6,6,6,4,4,4,4,4,6,6,5,4,4,4,5,1,1,1,1,11.66666667,28.24761905,30.05
1901723692,38,2,1,1,6,6,4,6,5,6,6,4,5,6,5,5,6,6,6,6,5,6,6,6,6,5,5,5,4,6,5,5,5,5,5,5,33,2,1,2,1,5,5,5,6,6,6,6,4,6,6,5,4,5,5,5,6,6,6,5,5,6,6,6,5,5,6,6,5,6,4,4,4,5,8.083333333,27.4547619,30.25
1904678110,36,2,1,1,3,3,3,5,1,1,1,1,4,5,5,5,2,2,2,5,6,5,5,5,5,6,4,5,4,3,2,5,3,1,1,1,37,2,1,2,1,5,4,4,2,3,1,4,1,1,5,5,5,5,2,4,2,4,5,5,5,5,5,5,4,4,5,5,3,5,2,1,1,1,9.166666667,27.58333333,27.46428571
1918401684,30,2,1,2,5,4,2,6,2,3,3,1,4,5,2,2,6,5,5,4,4,2,5,5,4,3,5,2,2,3,4,6,2,2,2,5,30,2,1,1,1,5,1,1,1,5,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,5,1,5,1,1,5,1,1,5,1,5.166666667,11.4952381,22.48809524
